City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Bambanglipuro,ID,79.95,broken clouds,-7.95,110.2833,Puri Brata
9,Nouakchott,MR,76.98,broken clouds,18.0858,-15.9785,HOTEL IMAN
15,Laguna,US,80.74,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
16,Ternate,ID,82.72,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
17,Tabou,CI,75.02,overcast clouds,4.423,-7.3528,hotêl doufoulougou
22,Namatanai,PG,83.17,light rain,-3.6667,152.4333,Seagulls Inn Namatani
23,Price,US,81.12,overcast clouds,39.5994,-110.8107,National 9 - Price River Inn
25,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
31,Bengkulu,ID,84.04,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
32,Les Cayes,HT,77.76,scattered clouds,18.2,-73.75,Villa Orphee
37,Nuevo Progreso,MX,80.55,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
40,Hirara,JP,85.55,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
42,Salalah,OM,77.18,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
43,Kalmunai,LK,85.26,moderate rain,7.4167,81.8167,VS Villa
46,Padang,ID,85.8,light rain,-0.9492,100.3543,Mercure Padang
48,Mangrol,IN,82.63,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
49,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
51,Aquiraz,BR,78.89,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
53,Tiznit,MA,83.86,scattered clouds,29.5833,-9.5,
55,Shingu,JP,84.02,overcast clouds,33.7333,135.9833,Shingu UI Hotel
56,Dera Bugti,PK,79.95,overcast clouds,29.0307,69.151,Nawab Bugti House
65,Casablanca,MA,75.42,scattered clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
67,Fort Smith,US,83.17,clear sky,35.3859,-94.3986,Hampton Inn Fort Smith
70,Sibu,MY,86.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
71,Madisonville,US,80.94,broken clouds,37.3281,-87.4989,Days Inn by Wyndham Madisonville
74,Puerto Escondido,MX,79.86,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
75,Atuona,PF,77.41,few clouds,-9.8,-139.0333,Villa Enata
84,Chuzhou,CN,87.76,clear sky,32.3219,118.2978,GreenTree Inn Chuzhou Langya Mountain Scenic Area Xijian Road Business Hotel
86,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
89,Arlit,NE,88.92,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
90,Sola,VU,80.73,few clouds,-13.8833,167.55,Leumerus Bungalows
96,Butaritari,KI,82.26,light rain,3.0707,172.7902,Isles Sunset Lodge
105,Mogadishu,SO,76.87,light rain,2.0371,45.3438,Hotel Juba
107,Kota Bahru,MY,87.75,scattered clouds,6.1333,102.2386,Grand Riverview Hotel
114,Sorong,ID,85.28,broken clouds,-0.8833,131.25,Waigo Splash Hotel
117,Kerema,PG,81.46,broken clouds,-7.9631,145.7785,Frena Lodge
118,Hambantota,LK,84.54,broken clouds,6.1241,81.1185,Bungalow 63
122,Kavieng,PG,85.5,few clouds,-2.5744,150.7967,Nusa Island Retreat
126,Vega De Alatorre,MX,80.62,overcast clouds,20.0333,-96.6333,Hotel D Luxe
133,Suruc,TR,78.19,clear sky,36.9761,38.425,PEHLİVANKESMESİ KÖYÜ
134,Barreirinhas,BR,75.09,broken clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
136,Buala,SB,85.71,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
139,Maine-Soroa,NE,78.85,few clouds,13.2114,12.0241,Complexe
140,Hilo,US,77.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
141,Tura,IN,76.35,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
142,Khatanga,RU,80.01,scattered clouds,71.9667,102.5,"""Khatanga"""
144,Kulhudhuffushi,MV,81.57,broken clouds,6.6221,73.07,Haajy Guest House 1
146,Harlingen,US,83.05,broken clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
147,Tual,ID,79.23,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
156,Hasaki,JP,90.0,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
161,Hamilton,US,77.68,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
166,Jalu,LY,76.77,clear sky,29.0331,21.5482,صاحبة الفخامة
172,Hithadhoo,MV,81.64,overcast clouds,-0.6,73.0833,Scoop Guest House
174,Khash,IR,88.97,overcast clouds,28.2211,61.2158,خوابگاه آبجی محدثه
175,Waingapu,ID,83.41,few clouds,-9.6567,120.2641,Pondok Wisata Elim
176,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
179,Chlorakas,CY,85.08,clear sky,34.8042,32.4083,Elysium Hotel
180,Russell,US,77.0,overcast clouds,32.3502,-85.1999,Macs
181,Bilma,NE,87.44,clear sky,18.6853,12.9164,Expeditions Ténére voyages
182,Hobyo,SO,78.39,broken clouds,5.3505,48.5268,Iftin hotel hobyo
185,Cockburn Town,TC,81.25,few clouds,21.4612,-71.1419,Osprey Beach Hotel
186,La Cruz,MX,79.81,broken clouds,23.9167,-106.9,Jesús angel
190,Thinadhoo,MV,82.33,overcast clouds,0.5333,72.9333,
198,Yulara,AU,79.75,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
203,Aykhal,RU,75.25,broken clouds,66.0,111.5,
209,Urucara,BR,75.81,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
216,Taksimo,RU,81.0,light rain,56.3444,114.8794,"Gostinitsa ""Domashniy Ochag"""
217,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
218,Adre,TD,75.63,overcast clouds,13.4667,22.2,
221,Magaria,NE,77.92,broken clouds,12.9983,8.9099,Chez Honorable Chapiou
225,Mastic Beach,US,78.98,scattered clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
226,Biak,ID,80.67,broken clouds,-0.9131,122.8766,Penginapan Kim
227,Sao Filipe,CV,76.3,light rain,14.8961,-24.4956,Hotel Xaguate
228,Genhe,CN,76.41,broken clouds,50.7833,121.5167,Companionship Hotel
229,Woodward,US,88.97,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
230,Mundo Nuevo,MX,80.42,light rain,18.7,-95.5,
233,Trairi,BR,76.37,few clouds,-3.2778,-39.2689,janelas do mar
236,Mana,GF,76.12,overcast clouds,5.6592,-53.7767,LE SAMANA
238,Kloulklubed,PW,75.7,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
243,Udachnyy,RU,76.82,broken clouds,66.4167,112.4,Severnoye Siyaniye
244,Katsuura,JP,81.88,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
247,Pochutla,MX,79.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
251,Norfolk,US,78.6,broken clouds,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
253,Mareeba,AU,76.48,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
258,Faanui,PF,79.52,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
260,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
267,Buchanan,LR,75.06,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
274,Rincon,US,82.85,clear sky,32.296,-81.2354,Days Inn Rincon
275,Vieste,IT,82.94,clear sky,41.8825,16.175,Hotel Falcone
276,Esmeralda,CU,76.89,overcast clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
281,Changli,CN,89.6,clear sky,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
282,Khandyga,RU,82.65,clear sky,62.6667,135.6,Apel'sin
284,Marawi,PH,78.42,overcast clouds,7.9986,124.2928,Derogongan Residence
285,Batticaloa,LK,84.29,moderate rain,7.7102,81.6924,Grand Star Guest House
288,San Policarpo,PH,84.34,overcast clouds,12.1791,125.5072,Agapita M. Nicart
293,Billings,US,76.28,clear sky,45.7833,-108.5007,Best Western Plus Clocktower Inn
296,Port Moresby,PG,81.75,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
301,Tondano,ID,82.49,scattered clouds,1.3038,124.9112,Villa Bella
305,Kendari,ID,79.27,broken clouds,-3.945,122.4989,Hotel Wixel
306,Isangel,VU,79.36,clear sky,-19.55,169.2667,Tanna Lodge
318,Urumqi,CN,85.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
