City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
5,Hithadhoo,MV,81.9,broken clouds,-0.6,73.0833,Scoop Guest House
12,Kavieng,PG,84.47,light rain,-2.5744,150.7967,Nusa Island Retreat
15,Jamestown,US,76.01,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
18,Dingle,PH,86.65,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
23,Georgetown,MY,84.88,light rain,5.4112,100.3354,Cititel Penang
32,Kudahuvadhoo,MV,81.99,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
36,Rikitea,PF,75.42,few clouds,-23.1203,-134.9692,People ThankYou
39,Salalah,OM,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
41,Padang,ID,75.25,light rain,-0.9492,100.3543,Mercure Padang
43,Princeton,US,85.01,scattered clouds,25.5384,-80.4089,American Best Inn
45,Ponta Do Sol,PT,82.13,few clouds,32.6667,-17.1,Hotel do Campo
46,Faanui,PF,78.35,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
48,Ambon,ID,80.38,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
54,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
62,Hilo,US,85.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
64,Fukue,JP,80.78,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
68,Barcelona,ES,80.64,clear sky,41.3888,2.159,Axel Hotel Barcelona
74,Cabo San Lucas,MX,84.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
77,Bethel,US,80.76,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
78,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
80,Galveston,US,86.95,clear sky,29.3669,-94.9669,Crystal Suites
88,Minbu,MM,87.53,broken clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
98,Green Valley,US,83.89,overcast clouds,31.8543,-110.9937,Best Western Green Valley Inn
104,Bud,US,75.74,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
107,Mayo,US,87.1,clear sky,38.8876,-76.5119,Resorts Resource Group International
111,Keti Bandar,PK,79.74,light rain,24.1447,67.4497,Haji laloo memon house
121,Namatanai,PG,82.81,light rain,-3.6667,152.4333,Seagulls Inn Namatani
122,Makakilo City,US,82.72,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
123,Atuona,PF,76.78,clear sky,-9.8,-139.0333,Villa Enata
125,Beyneu,KZ,77.54,broken clouds,45.3167,55.2,NUR
129,Naze,JP,82.11,few clouds,28.3667,129.4833,Shishime Hotel
130,Denpasar,ID,83.86,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
