City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Jaisinghnagar,23.7,81.3833,76.23,84,92,7.74,IN,2022-07-18 23:17:44
1,Hot Springs,34.5037,-93.0552,82.4,83,27,1.99,US,2022-07-19 04:58:10
2,Rikitea,-23.1203,-134.9692,74.48,74,4,12.8,PF,2022-07-19 04:58:11
3,Mahebourg,-20.4081,57.7,71.26,68,75,19.57,MU,2022-07-19 04:58:11
4,Saskylakh,71.9167,114.0833,44.37,64,100,15.39,RU,2022-07-19 04:58:12
5,Mae Sot,16.7167,98.5667,91.42,74,40,6.91,TH,2022-07-19 04:58:12
6,Barrow,71.2906,-156.7887,42.82,75,100,17.27,US,2022-07-19 04:58:13
7,Tuktoyaktuk,69.4541,-133.0374,66.2,72,75,4.61,CA,2022-07-19 04:58:13
8,New Norfolk,-42.7826,147.0587,49.5,61,45,1.72,AU,2022-07-19 04:58:13
9,Torbay,47.6666,-52.7314,62.89,86,81,18.1,CA,2022-07-19 04:58:14
10,East London,-33.0153,27.9116,68.94,37,0,12.66,ZA,2022-07-19 04:58:14
11,Fort Nelson,58.8053,-122.7002,63.99,88,75,6.91,CA,2022-07-19 04:58:15
12,Iqaluit,63.7506,-68.5145,38.93,93,100,16.11,CA,2022-07-19 04:58:15
13,Kapaa,22.0752,-159.319,77.11,81,15,4.0,US,2022-07-19 04:58:16
14,Albany,42.6001,-73.9662,72.18,90,96,11.95,US,2022-07-19 04:57:14
15,Sao Filipe,14.8961,-24.4956,75.07,83,97,9.46,CV,2022-07-19 04:58:17
16,Charleston,32.7766,-79.9309,83.01,85,0,9.22,US,2022-07-19 04:55:25
17,Grindavik,63.8424,-22.4338,51.75,100,75,5.75,IS,2022-07-19 04:58:17
18,Thompson,55.7435,-97.8558,66.36,72,40,2.3,CA,2022-07-19 04:58:18
19,Ahipara,-35.1667,173.1667,60.15,90,87,6.06,NZ,2022-07-19 04:58:18
20,Souillac,-20.5167,57.5167,70.18,68,75,19.57,MU,2022-07-19 04:58:19
21,Fortuna,40.5982,-124.1573,56.66,85,4,2.8,US,2022-07-19 04:58:19
22,Bato,13.3528,123.3677,84.09,79,65,4.99,PH,2022-07-19 04:58:20
23,Port Alfred,-33.5906,26.891,62.37,53,27,3.29,ZA,2022-07-19 04:58:20
24,Tautira,-17.7333,-149.15,76.24,72,18,2.71,PF,2022-07-19 04:58:21
25,Itarema,-2.9248,-39.9167,76.14,82,6,13.15,BR,2022-07-19 04:58:21
26,Hobart,-42.8794,147.3294,49.86,70,75,5.75,AU,2022-07-19 04:56:56
27,Greece,43.2098,-77.6931,72.36,94,20,4.0,US,2022-07-19 04:58:22
28,Batouri,4.4333,14.3667,66.31,99,99,3.02,CM,2022-07-19 04:58:22
29,Mataura,-46.1927,168.8643,45.48,90,100,4.25,NZ,2022-07-19 04:58:23
30,Isangel,-19.55,169.2667,79.3,75,74,9.01,VU,2022-07-19 04:58:23
31,Portland,45.5234,-122.6762,71.42,64,0,5.01,US,2022-07-19 04:57:14
32,Hokitika,-42.7167,170.9667,53.96,89,100,6.53,NZ,2022-07-19 04:58:24
33,Mantua,45.1667,10.7833,72.34,74,1,1.99,IT,2022-07-19 04:58:24
34,Broome,42.2506,-75.833,71.85,84,89,5.01,US,2022-07-19 04:58:25
35,Cape Town,-33.9258,18.4232,54.12,85,40,10.36,ZA,2022-07-19 04:58:25
36,Castro,-24.7911,-50.0119,55.36,99,95,2.42,BR,2022-07-19 04:58:26
37,Inverness,57.4791,-4.224,58.78,95,0,3.44,GB,2022-07-19 04:58:26
38,Puerto Leguizamo,-0.1934,-74.7819,69.82,98,73,1.21,CO,2022-07-19 04:58:27
39,Busselton,-33.65,115.3333,61.0,63,0,7.63,AU,2022-07-19 04:58:27
40,Luganville,-15.5333,167.1667,81.37,73,20,9.17,VU,2022-07-19 04:58:28
41,Codrington,-38.2667,141.9667,53.19,55,13,8.05,AU,2022-07-19 04:58:28
42,West Odessa,31.8424,-102.4988,90.81,29,1,17.05,US,2022-07-19 04:58:29
43,Jamestown,42.097,-79.2353,69.71,82,1,1.01,US,2022-07-19 04:58:29
44,Puerto Ayora,-0.7393,-90.3518,68.56,94,65,5.99,EC,2022-07-19 04:55:55
45,Boshnyakovo,49.6333,142.1667,61.14,82,92,3.18,RU,2022-07-19 04:58:30
46,Sakakah,29.9697,40.2064,89.17,14,0,3.18,SA,2022-07-19 04:58:31
47,Coquimbo,-29.9533,-71.3436,51.53,93,0,0.0,CL,2022-07-19 04:59:31
48,Port Augusta,-32.5,137.7667,59.81,34,4,6.55,AU,2022-07-19 04:59:32
49,Kathmandu,27.7167,85.3167,80.82,65,40,3.44,NP,2022-07-19 04:56:43
50,Coos Bay,43.3665,-124.2179,59.23,91,0,27.63,US,2022-07-19 04:54:44
51,Namibe,-15.1961,12.1522,62.91,89,0,7.52,AO,2022-07-19 04:59:33
52,Champerico,14.3,-91.9167,81.21,80,93,5.3,GT,2022-07-19 04:59:33
53,Provideniya,64.3833,-173.3,46.51,66,40,13.42,RU,2022-07-19 04:59:34
54,Kabare,-2.4683,28.8242,61.99,70,99,2.57,CD,2022-07-19 04:59:34
55,Berlevag,70.8578,29.0864,62.4,77,84,6.51,NO,2022-07-19 04:59:35
56,Teguise,29.0605,-13.564,68.22,83,0,20.71,ES,2022-07-19 04:59:35
57,Avarua,-21.2078,-159.775,73.45,73,75,3.44,CK,2022-07-19 04:59:36
58,Shimoda,34.6667,138.95,80.96,93,100,17.27,JP,2022-07-19 04:59:36
59,Saint George,37.1041,-113.5841,93.63,30,42,1.99,US,2022-07-19 04:59:36
60,Bredasdorp,-34.5322,20.0403,53.51,85,99,3.18,ZA,2022-07-19 04:59:37
61,Vaini,-21.2,-175.2,77.16,88,40,10.36,TO,2022-07-19 04:59:37
62,Samarai,-10.6167,150.6667,81.73,77,51,9.24,PG,2022-07-19 04:59:38
63,Olga,43.7444,135.2892,74.55,71,54,6.53,RU,2022-07-19 04:59:38
64,Severo-Kurilsk,50.6789,156.125,57.49,86,75,10.47,RU,2022-07-19 04:59:38
65,Ushuaia,-54.8,-68.3,31.66,93,20,6.91,AR,2022-07-19 04:59:39
66,Ilulissat,69.2167,-51.1,41.72,80,65,3.42,GL,2022-07-19 04:59:39
67,Palmer,42.1584,-72.3287,74.25,86,100,13.8,US,2022-07-19 04:59:40
68,Port Elizabeth,-33.918,25.5701,60.31,95,40,4.61,ZA,2022-07-19 04:59:22
69,La Asuncion,11.0333,-63.8628,87.53,70,35,12.66,VE,2022-07-19 04:59:41
70,Yulara,-25.2406,130.9889,73.47,17,0,7.34,AU,2022-07-19 04:59:41
71,Bluff,-46.6,168.3333,45.81,72,96,15.93,NZ,2022-07-19 04:59:42
72,Lompoc,34.6391,-120.4579,71.74,83,7,4.41,US,2022-07-19 04:59:42
73,Byron Bay,-28.65,153.6167,53.94,78,92,9.57,AU,2022-07-19 04:58:47
74,Mar Del Plata,-38.0023,-57.5575,40.87,88,0,6.91,AR,2022-07-19 04:56:43
75,Victor Harbor,-35.5667,138.6167,52.0,65,100,8.41,AU,2022-07-19 04:59:43
76,Lushoto,-4.7833,38.2833,54.3,94,56,4.09,TZ,2022-07-19 04:59:44
77,Pangai,-19.8,-174.35,75.31,94,75,20.71,TO,2022-07-19 04:59:44
78,Lebu,-37.6167,-73.65,43.45,82,85,3.76,CL,2022-07-19 04:59:44
79,Punta Arenas,-53.15,-70.9167,39.31,75,40,18.41,CL,2022-07-19 04:56:38
80,Erzincan,39.75,39.5,69.06,65,1,3.53,TR,2022-07-19 04:59:45
81,Novokizhinginsk,51.6115,109.5917,87.67,25,99,6.11,RU,2022-07-19 04:59:46
82,Kalmunai,7.4167,81.8167,89.02,59,54,11.27,LK,2022-07-19 04:59:47
83,Hermanus,-34.4187,19.2345,52.81,78,99,4.94,ZA,2022-07-19 04:59:47
84,Westport,41.1415,-73.3579,79.09,95,97,5.01,US,2022-07-19 04:57:41
85,Pasni,25.2631,63.471,83.86,87,86,11.56,PK,2022-07-19 04:59:48
86,Floro,61.5996,5.0328,55.36,76,0,12.66,NO,2022-07-19 04:59:48
87,Ribeira Grande,38.5167,-28.7,71.87,91,36,2.13,PT,2022-07-19 04:59:49
88,Copiapo,-27.3667,-70.3333,49.69,36,0,1.74,CL,2022-07-19 04:59:49
89,Kodiak,57.79,-152.4072,54.05,84,73,1.99,US,2022-07-19 04:59:49
90,Mehamn,71.0357,27.8492,56.41,84,94,1.79,NO,2022-07-19 04:59:50
91,Terrace,54.5163,-128.6035,55.45,100,100,2.73,CA,2022-07-19 05:00:50
92,Rocha,-34.4833,-54.3333,42.4,92,70,2.3,UY,2022-07-19 05:00:26
93,Longyearbyen,78.2186,15.6401,55.24,67,75,13.8,SJ,2022-07-19 05:00:51
94,Santana Do Livramento,-30.8908,-55.5328,46.53,87,72,4.81,BR,2022-07-19 05:00:52
95,Nikolskoye,59.7035,30.7861,63.88,67,61,5.37,RU,2022-07-19 05:00:52
96,Nanortalik,60.1432,-45.2371,47.48,80,89,10.47,GL,2022-07-19 05:00:53
97,Hilo,19.7297,-155.09,79.29,93,100,6.91,US,2022-07-19 04:58:48
98,Saint Anthony,45.0205,-93.218,82.92,70,0,5.75,US,2022-07-19 05:00:53
99,Mogadishu,2.0371,45.3438,76.46,77,79,19.44,SO,2022-07-19 05:00:54
100,Fengxian,34.7039,116.5872,83.37,72,100,3.89,CN,2022-07-19 05:00:55
101,Clyde River,70.4692,-68.5914,35.83,100,100,5.75,CA,2022-07-19 05:00:55
102,Nizwa,22.9333,57.5333,89.89,49,22,0.45,OM,2022-07-19 05:00:55
103,Cidreira,-30.1811,-50.2056,53.04,92,15,7.05,BR,2022-07-19 05:00:56
104,Hutchinson,38.0608,-97.9298,78.04,65,0,4.61,US,2022-07-19 05:00:57
105,Lunglei,22.8833,92.7333,79.88,69,99,4.47,IN,2022-07-19 05:00:57
106,Geraldton,-28.7667,114.6,66.61,55,0,6.91,AU,2022-07-19 05:00:58
107,Saint-Augustin,51.226,-58.6502,59.0,77,21,3.51,CA,2022-07-19 05:00:58
108,Mulege,26.8833,-111.9833,88.47,52,3,1.72,MX,2022-07-19 05:00:59
109,Chokurdakh,70.6333,147.9167,49.48,38,35,14.16,RU,2022-07-19 05:00:59
110,Sakaiminato,35.55,133.2333,76.93,94,100,9.46,JP,2022-07-19 05:01:00
111,Carnarvon,-24.8667,113.6333,73.62,37,0,9.71,AU,2022-07-19 05:01:00
112,Natal,-5.795,-35.2094,75.42,94,75,8.05,BR,2022-07-19 04:58:20
113,Noumea,-22.2763,166.4572,73.99,99,100,14.14,NC,2022-07-19 05:01:02
114,Laguna,38.421,-121.4238,86.02,33,0,8.05,US,2022-07-19 05:01:02
115,Iskateley,67.6803,53.1512,71.55,54,83,9.84,RU,2022-07-19 05:01:03
116,Saint-Philippe,-21.3585,55.7679,71.19,71,61,16.53,RE,2022-07-19 05:01:04
117,Youhao,47.8667,128.8333,81.59,49,81,6.55,CN,2022-07-19 05:01:04
118,Kununurra,-15.7667,128.7333,87.78,30,30,6.91,AU,2022-07-19 05:01:05
119,Padang,-0.9492,100.3543,87.85,58,37,5.53,ID,2022-07-19 05:01:05
120,Arlit,18.7369,7.3853,87.49,38,93,4.36,NE,2022-07-19 05:01:06
121,Atuona,-9.8,-139.0333,76.89,71,65,19.15,PF,2022-07-19 05:01:06
122,Alofi,-19.0595,-169.9187,76.87,73,46,26.26,NU,2022-07-19 05:01:07
123,Katsuura,35.1333,140.3,78.82,85,100,22.62,JP,2022-07-19 05:01:07
124,Faanui,-16.4833,-151.75,75.88,73,2,4.52,PF,2022-07-19 05:01:08
125,Qaanaaq,77.484,-69.3632,40.91,73,15,1.45,GL,2022-07-19 05:01:08
126,Dingle,10.9995,122.6711,83.91,76,100,2.55,PH,2022-07-19 05:01:09
127,Bandarbeyla,9.4942,50.8122,80.51,55,91,32.7,SO,2022-07-19 05:01:10
128,Mareeba,-17.0,145.4333,79.45,59,0,4.07,AU,2022-07-19 05:01:10
129,Tame,6.461,-71.73,71.4,83,99,1.61,CO,2022-07-19 05:01:11
130,Plettenberg Bay,-34.0527,23.3716,58.24,88,93,0.83,ZA,2022-07-19 05:01:11
131,Touros,-5.1989,-35.4608,74.44,89,90,11.81,BR,2022-07-19 05:01:12
132,Ixtapa,20.7,-105.2,76.17,90,99,3.51,MX,2022-07-19 05:01:12
133,Stephenville,32.2207,-98.2023,93.24,30,40,12.66,US,2022-07-19 04:57:19
