City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Tasiilaq,GL,65.6145,-37.6368,41.16,87,93,3.51,overcast clouds
1,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,88,40,2.98,scattered clouds
2,Belmonte,BR,-15.8631,-38.8828,70.25,85,56,6.35,broken clouds
3,Nogliki,RU,51.8333,143.1667,65.88,72,58,11.34,broken clouds
4,Mataura,NZ,-46.1927,168.8643,45.48,86,80,4.36,broken clouds
5,Hithadhoo,MV,-0.6,73.0833,81.9,72,75,7.99,broken clouds
6,Sisimiut,GL,66.9395,-53.6735,44.53,86,72,4.92,broken clouds
7,Bredasdorp,ZA,-34.5322,20.0403,45.46,89,0,5.95,clear sky
8,Lata,PT,40.1629,-8.3327,55.8,89,1,2.71,clear sky
9,Oranjemund,NA,-28.55,16.4333,61.75,32,0,12.64,clear sky
10,Hermanus,ZA,-34.4187,19.2345,48.74,81,0,11.14,clear sky
11,Emerald,AU,-23.5333,148.1667,70.34,58,0,9.13,clear sky
12,Kavieng,PG,-2.5744,150.7967,84.47,71,8,8.97,light rain
13,Huamachuco,PE,-7.8,-78.0667,50.97,81,100,1.21,overcast clouds
14,Buin,CL,-33.7333,-70.75,53.74,95,100,2.82,overcast clouds
15,Jamestown,US,42.097,-79.2353,76.01,89,40,9.22,scattered clouds
16,Tiksi,RU,71.6872,128.8694,50.02,71,54,3.18,broken clouds
17,Ostrovnoy,RU,68.0531,39.5131,50.68,89,100,11.97,overcast clouds
18,Dingle,PH,10.9995,122.6711,86.65,71,89,1.12,overcast clouds
19,Puerto Ayora,EC,-0.7393,-90.3518,69.55,92,100,7.0,overcast clouds
20,New Norfolk,AU,-42.7826,147.0587,58.91,63,59,4.65,broken clouds
21,Rovaniemi,FI,66.5,25.7167,54.81,76,0,5.75,clear sky
22,Kumbo,CM,6.2,10.6667,58.51,97,100,3.27,light rain
23,Georgetown,MY,5.4112,100.3354,84.88,81,20,1.01,light rain
24,Lagoa,PT,39.05,-27.9833,72.72,91,0,8.93,clear sky
25,Bada,RU,51.392,109.8717,70.12,55,99,3.65,overcast clouds
26,Mahebourg,MU,-20.4081,57.7,61.09,94,75,4.61,broken clouds
27,Corowa,AU,-36.0333,146.3833,62.58,74,97,13.82,overcast clouds
28,Homer,US,59.6425,-151.5483,62.49,63,100,5.75,overcast clouds
29,Chicama,PE,-7.8447,-79.1469,59.54,87,100,5.77,overcast clouds
30,Saskylakh,RU,71.9167,114.0833,74.46,48,22,11.45,few clouds
31,Sitka,US,57.0531,-135.33,57.09,88,100,5.75,light intensity drizzle
32,Kudahuvadhoo,MV,2.6708,72.8944,81.99,73,100,11.07,overcast clouds
33,Coquimbo,CL,-29.9533,-71.3436,53.33,82,100,2.3,overcast clouds
34,Hobart,AU,-42.8794,147.3294,59.25,75,40,6.91,scattered clouds
35,Punta Arenas,CL,-53.15,-70.9167,35.71,69,0,19.57,clear sky
36,Rikitea,PF,-23.1203,-134.9692,75.42,80,17,15.95,few clouds
37,Iqaluit,CA,63.7506,-68.5145,43.7,93,89,3.0,overcast clouds
